"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","393","PUT API -- Update a user","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2952","@sanity logout link exist test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","2651","@regression invalid login test with excel data - excel_wrong@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2732","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2682","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","3544","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3007","@smoke footers exist on product page","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","4600","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","1100","DELETE - delete a user","chromium","2026-06-30","passed","2026-06-30","","api/users.api.indi.spec.ts","",""
"","3389","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","408","DELETE API -- Delete a user","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2952","@sanity home page title test","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","3598","intercept and log requests","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","168","mock search data api","chromium","2026-06-30","passed","2026-06-30","","api/intercept.spec.ts","",""
"","3618","@regression verify search results count - imac - iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2163","@regression forgot pwd link exist test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","2996","@regression invalid login test with JSON data - invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","397","get user test","chromium","2026-06-30","passed","2026-06-30","raw api users endpoint test","api/users.api.spec.ts","",""
"","2744","@regression invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","1619","POST - create a user","chromium","2026-06-30","passed","2026-06-30","","api/users.api.indi.spec.ts","",""
"","4710","@regression verify product images count","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","341","GET API -- get all users","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","4289","@regression verify product Information/Data","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","347","POST API -- create a user","chromium","2026-06-30","passed","2026-06-30","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2945","@smoke @sanity user is able to login to app test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
