"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3527","@regression verify search results count - airtel - null","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","11","POST API -- create a user","chromium","2026-07-07","skipped","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","3557","@regression verify user is able to land on the product page - airtel - null","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","2865","@regression invalid login test with JSON data - invalid@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","13","PUT - update a user","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.indi.spec.ts","",""
"","2744","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3175","@sanity logout link exist test","chromium","2026-07-07","passed","2026-07-07","","homepage.spec.ts","",""
"","2261","@sanity login page title test","chromium","2026-07-07","passed","2026-07-07","","loginpage.spec.ts","",""
"","2341","@regression forgot pwd link exist test","chromium","2026-07-07","passed","2026-07-07","","loginpage.spec.ts","",""
"","3048","@sanity logout link exist test","chromium","2026-07-07","passed","2026-07-07","","homepagefix.spec.ts","",""
"","219","mock search page with fake HTML","chromium","2026-07-07","passed","2026-07-07","","api/intercept.spec.ts","",""
"","3113","@sanity home page title test","chromium","2026-07-07","passed","2026-07-07","","homepagefix.spec.ts","",""
"","2847","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","23","Update a user test","chromium","2026-07-07","skipped","2026-07-07","raw api users endpoint test","api/users.api.spec.ts","",""
"","3204","@sanity home page title test","chromium","2026-07-07","passed","2026-07-07","","homepage.spec.ts","",""
"","11","POST - create a user","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.indi.spec.ts","",""
"","2857","@regression invalid login test with -  - pw1234","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3234","intercept and log requests","chromium","2026-07-07","passed","2026-07-07","","api/intercept.spec.ts","",""
"","3135","@sanity @smoke comp logo exists on product page","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","228","mock search data api","chromium","2026-07-07","passed","2026-07-07","","api/intercept.spec.ts","",""
"","2810","@regression invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","2948","@regression invalid login test with excel data - excel_invalid@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","11","get user test","chromium","2026-07-07","skipped","2026-07-07","raw api users endpoint test","api/users.api.spec.ts","",""
"","13","PUT API -- Update a user","chromium","2026-07-07","skipped","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2961","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","4446","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","8","Delete a user test","chromium","2026-07-07","skipped","2026-07-07","raw api users endpoint test","api/users.api.spec.ts","",""
"","4832","@regression login to app using wrong credentials with Data driven test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3104","@smoke @sanity user is able to login to app test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","4524","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","9","GET API -- get all users","chromium","2026-07-07","skipped","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","11","GET -- get a user","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.schema.spec.ts","",""
"","2325","@sanity login page title test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3205","@regression home page headers exist test @junesprint","chromium","2026-07-07","passed","2026-07-07","","homepage.spec.ts","",""
"","5026","@regression verify product images count","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","3799","@regression verify search results count - macbook - MacBook Air","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","4960","@regression verify product Information/Data","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
"","10","DELETE API -- Delete a user","chromium","2026-07-07","skipped","2026-07-07","running e2e go rest crud api tests","api/users.api.sep.spec.ts","",""
"","2844","@regression invalid login test with JSON data - wrong@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","15","GET -- get all users","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.schema.spec.ts","",""
"","3788","@regression verify search results count - imac - iMac","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","11","create a user test","chromium","2026-07-07","skipped","2026-07-07","raw api users endpoint test","api/users.api.spec.ts","",""
"","13","DELETE - delete a user","chromium","2026-07-07","skipped","2026-07-07","","api/users.api.indi.spec.ts","",""
"","4418","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","3977","@regression verify search results count - macbook - MacBook Pro","chromium","2026-07-07","passed","2026-07-07","","search.spec.ts","",""
"","2914","@regression invalid login test with excel data - excel_wrong@open.com","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3223","@regression home page headers exist test","chromium","2026-07-07","passed","2026-07-07","","homepagefix.spec.ts","",""
"","1","GET -- get location data","chromium","2026-07-07","skipped","2026-07-07","","api/amadeus.oauth2.spec.ts","",""
"","2397","@regression forgot pwd link exist test","chromium","2026-07-07","passed","2026-07-07","","loginpagefix.spec.ts","",""
"","3105","@smoke @sanity user is able to login to app test","chromium","2026-07-07","passed","2026-07-07","","loginpage.spec.ts","",""
"","6","@sanity placeholder test","chromium","2026-07-07","passed","2026-07-07","","searchpage.spec.ts","",""
"","3175","@smoke footers exist on product page","chromium","2026-07-07","passed","2026-07-07","","productpage.spec.ts","",""
